GARMIN CONSOLIDATED SLEEP REPORT
===============================

Date         | Deep     | REM      | Light    | Total
2017-02-12   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-13   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-14   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-15   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-16   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-17   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-18   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-19   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-20   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-21   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-22   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-23   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-24   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-25   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-26   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-27   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-02-28   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-01   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-02   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-03   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-04   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-05   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-06   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-07   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-08   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-09   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-10   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-11   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-12   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-13   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-14   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-15   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-16   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-17   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-18   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-19   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-20   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-21   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-22   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-23   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-24   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-25   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-26   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-03-27   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
