GARMIN CONSOLIDATED SLEEP REPORT
===============================

Date         | Deep     | REM      | Light    | Total
2017-11-10   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-11   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-12   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-13   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-14   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-15   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-16   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-17   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-18   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-19   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-20   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-21   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-22   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-23   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-24   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-25   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-26   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-27   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-28   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-29   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-11-30   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-12-01   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-12-02   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-12-03   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-12-04   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-12-05   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-12-06   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-12-07   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-12-08   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-12-09   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-12-10   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-12-11   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-12-12   | 2h 45m   | 0h 0m    | 6h 46m   | 9h 52m
2017-12-13   | 3h 58m   | 0h 0m    | 5h 21m   | 9h 27m
2017-12-14   | 1h 29m   | 0h 0m    | 8h 53m   | 10h 37m
2017-12-15   | 3h 41m   | 0h 0m    | 6h 29m   | 10h 15m
2017-12-16   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2017-12-17   | 3h 29m   | 0h 0m    | 7h 4m    | 10h 43m
2017-12-18   | 2h 35m   | 0h 0m    | 6h 17m   | 9h 7m
2017-12-19   | 3h 14m   | 0h 0m    | 5h 40m   | 9h 1m
2017-12-20   | 2h 42m   | 0h 0m    | 6h 46m   | 9h 28m
2017-12-21   | 2h 23m   | 0h 0m    | 7h 2m    | 9h 29m
2017-12-22   | 1h 51m   | 0h 0m    | 8h 47m   | 10h 45m
2017-12-23   | 2h 38m   | 0h 0m    | 9h 23m   | 12h 20m
2017-12-24   | 2h 32m   | 0h 0m    | 6h 36m   | 9h 13m
2017-12-25   | 3h 8m    | 0h 0m    | 8h 14m   | 11h 24m
2017-12-26   | 3h 6m    | 0h 0m    | 7h 3m    | 10h 11m
2017-12-27   | 2h 7m    | 0h 0m    | 7h 8m    | 9h 21m
2017-12-28   | 2h 31m   | 0h 0m    | 8h 49m   | 11h 28m
2017-12-29   | 2h 24m   | 0h 0m    | 6h 25m   | 8h 53m
2017-12-30   | 1h 31m   | 0h 0m    | 6h 33m   | 8h 14m
2017-12-31   | 2h 51m   | 0h 0m    | 8h 23m   | 11h 24m
2018-01-01   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2018-01-02   | 1h 36m   | 0h 0m    | 5h 9m    | 6h 50m
2018-01-03   | 3h 35m   | 0h 0m    | 5h 28m   | 9h 8m
2018-01-04   | 1h 43m   | 0h 0m    | 6h 20m   | 8h 7m
2018-01-05   | 3h 21m   | 0h 0m    | 5h 55m   | 9h 16m
2018-01-06   | 3h 21m   | 0h 0m    | 6h 56m   | 10h 24m
2018-01-07   | 2h 50m   | 0h 0m    | 5h 44m   | 8h 39m
2018-01-08   | 2h 15m   | 0h 0m    | 8h 26m   | 10h 53m
2018-01-09   | 1h 47m   | 0h 0m    | 7h 21m   | 9h 13m
2018-01-10   | 2h 41m   | 0h 0m    | 7h 17m   | 10h 4m
2018-01-11   | 3h 12m   | 0h 0m    | 5h 20m   | 8h 34m
2018-01-12   | 2h 44m   | 0h 0m    | 8h 3m    | 10h 59m
2018-01-13   | 1h 32m   | 0h 0m    | 9h 43m   | 11h 29m
2018-01-14   | 2h 46m   | 0h 0m    | 6h 32m   | 9h 25m
2018-01-15   | 3h 5m    | 0h 0m    | 7h 14m   | 10h 22m
2018-01-16   | 1h 55m   | 0h 0m    | 7h 22m   | 9h 25m
2018-01-17   | 2h 14m   | 0h 0m    | 6h 52m   | 9h 13m
2018-01-18   | 3h 47m   | 0h 0m    | 3h 58m   | 9h 58m
2018-01-19   | 1h 52m   | 0h 0m    | 5h 23m   | 7h 22m
2018-01-20   | 2h 40m   | 0h 0m    | 5h 29m   | 8h 14m
2018-01-22   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2018-01-23   | 1h 14m   | 0h 0m    | 6h 45m   | 8h 6m
2018-01-24   | 1h 19m   | 0h 0m    | 7h 29m   | 8h 55m
2018-01-25   | 1h 44m   | 0h 0m    | 7h 5m    | 9h 1m
2018-01-26   | 1h 37m   | 0h 0m    | 8h 8m    | 10h 1m
2018-01-27   | 2h 53m   | 0h 0m    | 7h 2m    | 9h 56m
2018-01-28   | 2h 29m   | 0h 0m    | 9h 2m    | 11h 38m
2018-01-29   | 0h 59m   | 0h 0m    | 8h 25m   | 9h 47m
2018-01-30   | 1h 53m   | 0h 0m    | 7h 32m   | 9h 28m
2018-01-31   | 1h 15m   | 0h 0m    | 7h 5m    | 8h 25m
2018-02-01   | 2h 15m   | 0h 0m    | 6h 28m   | 8h 48m
2018-02-02   | 1h 51m   | 0h 0m    | 6h 42m   | 8h 33m
2018-02-03   | 7h 43m   | 0h 0m    | 3h 51m   | 11h 34m
2018-02-04   | 1h 18m   | 0h 0m    | 7h 41m   | 9h 1m
2018-02-05   | 7h 46m   | 0h 0m    | 0h 32m   | 8h 18m
2018-02-06   | 1h 17m   | 0h 0m    | 7h 50m   | 9h 18m
2018-02-07   | 2h 3m    | 0h 0m    | 6h 47m   | 8h 50m
2018-02-08   | 2h 10m   | 0h 0m    | 7h 25m   | 9h 37m
2018-02-09   | 2h 58m   | 0h 0m    | 5h 26m   | 8h 31m
2018-02-10   | 3h 27m   | 0h 0m    | 7h 32m   | 11h 5m
2018-02-11   | 2h 37m   | 0h 0m    | 6h 14m   | 8h 56m
2018-02-12   | 2h 56m   | 0h 0m    | 5h 22m   | 8h 30m
2018-02-13   | 1h 37m   | 0h 0m    | 7h 43m   | 9h 30m
2018-02-14   | 2h 33m   | 0h 0m    | 6h 53m   | 9h 35m
2018-02-15   | 2h 1m    | 0h 0m    | 6h 39m   | 8h 50m
2018-02-16   | 1h 59m   | 0h 0m    | 7h 31m   | 9h 35m
2018-02-17   | 2h 40m   | 0h 0m    | 5h 57m   | 8h 44m
2018-02-18   | 1h 37m   | 0h 0m    | 7h 38m   | 9h 21m
2018-02-19   | 2h 22m   | 0h 0m    | 8h 56m   | 11h 22m
2018-02-20   | 1h 57m   | 0h 0m    | 6h 51m   | 8h 49m
2018-02-21   | 1h 57m   | 0h 0m    | 6h 45m   | 9h 19m
2018-02-22   | 3h 10m   | 0h 0m    | 5h 17m   | 8h 40m
2018-02-23   | 2h 52m   | 0h 0m    | 5h 35m   | 8h 31m
2018-02-24   | 1h 38m   | 0h 0m    | 6h 42m   | 10h 6m
2018-02-25   | 3h 35m   | 0h 0m    | 7h 19m   | 11h 25m
2018-02-27   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2018-02-28   | 3h 22m   | 0h 0m    | 5h 43m   | 9h 11m
2018-03-01   | 3h 10m   | 0h 0m    | 5h 5m    | 8h 33m
2018-03-02   | 2h 18m   | 0h 0m    | 6h 29m   | 8h 54m
2018-03-03   | 0h 8m    | 0h 0m    | 11h 14m  | 12h 3m
2018-03-04   | 1h 21m   | 0h 0m    | 8h 29m   | 10h 2m
2018-03-05   | 1h 59m   | 0h 0m    | 5h 5m    | 7h 4m
2018-03-06   | 1h 59m   | 0h 0m    | 7h 13m   | 9h 18m
2018-03-07   | 1h 59m   | 0h 0m    | 5h 58m   | 8h 2m
2018-03-08   | 3h 42m   | 0h 0m    | 5h 25m   | 9h 7m
2018-03-09   | 1h 59m   | 0h 0m    | 6h 45m   | 8h 58m
2018-03-10   | 11h 1m   | 0h 0m    | 0h 10m   | 11h 16m
2018-03-11   | 2h 36m   | 0h 0m    | 6h 59m   | 9h 35m
2018-03-12   | 1h 36m   | 0h 0m    | 7h 34m   | 9h 13m
2018-03-13   | 2h 28m   | 0h 0m    | 5h 38m   | 8h 10m
2018-03-14   | 2h 33m   | 0h 0m    | 6h 20m   | 9h 0m
2018-03-15   | 1h 58m   | 0h 0m    | 6h 58m   | 9h 9m
2018-03-16   | 1h 41m   | 0h 0m    | 5h 17m   | 7h 6m
2018-03-17   | 3h 27m   | 0h 0m    | 7h 48m   | 11h 34m
2018-03-18   | 2h 19m   | 0h 0m    | 8h 18m   | 10h 37m
2018-03-19   | 2h 4m    | 0h 0m    | 6h 21m   | 8h 30m
2018-03-20   | 4h 4m    | 0h 0m    | 5h 0m    | 9h 6m
2018-03-21   | 2h 28m   | 0h 0m    | 5h 42m   | 8h 10m
2018-03-22   | 12h 28m  | 0h 0m    | 0h 0m    | 12h 28m
2018-03-23   | 4h 8m    | 0h 0m    | 6h 34m   | 10h 54m
2018-03-24   | 2h 7m    | 0h 0m    | 8h 4m    | 10h 20m
2018-03-25   | 2h 53m   | 0h 0m    | 6h 5m    | 9h 6m
2018-03-26   | 2h 10m   | 0h 0m    | 7h 46m   | 10h 10m
2018-03-27   | 2h 1m    | 0h 0m    | 7h 9m    | 9h 15m
2018-03-28   | 3h 20m   | 0h 0m    | 5h 49m   | 9h 28m
2018-03-29   | 2h 28m   | 0h 0m    | 5h 22m   | 7h 53m
2018-03-30   | 2h 49m   | 0h 0m    | 7h 7m    | 10h 30m
2018-03-31   | 3h 17m   | 0h 0m    | 4h 39m   | 8h 1m
2018-04-01   | 2h 16m   | 0h 0m    | 8h 15m   | 10h 32m
2018-04-02   | 2h 24m   | 0h 0m    | 7h 11m   | 9h 49m
2018-04-03   | 2h 50m   | 0h 0m    | 5h 57m   | 8h 55m
2018-04-04   | 3h 22m   | 0h 0m    | 6h 54m   | 10h 23m
2018-04-05   | 2h 27m   | 0h 0m    | 7h 20m   | 9h 53m
2018-04-06   | 1h 56m   | 0h 0m    | 8h 48m   | 11h 22m
2018-04-07   | 2h 37m   | 0h 0m    | 8h 34m   | 11h 42m
2018-04-08   | 2h 29m   | 0h 0m    | 6h 52m   | 9h 22m
2018-04-09   | 3h 31m   | 0h 0m    | 5h 22m   | 8h 53m
2018-04-10   | 2h 33m   | 0h 0m    | 7h 52m   | 11h 8m
2018-04-11   | 3h 5m    | 0h 0m    | 5h 37m   | 8h 47m
2018-04-12   | 4h 27m   | 0h 0m    | 5h 5m    | 9h 55m
2018-04-13   | 1h 23m   | 0h 0m    | 7h 7m    | 8h 30m
2018-04-14   | 2h 49m   | 0h 0m    | 6h 48m   | 9h 50m
2018-04-15   | 2h 22m   | 0h 0m    | 8h 22m   | 10h 49m
2018-04-16   | 2h 51m   | 0h 0m    | 5h 13m   | 8h 11m
2018-04-17   | 2h 36m   | 0h 0m    | 6h 6m    | 9h 6m
2018-04-18   | 2h 26m   | 0h 0m    | 6h 38m   | 9h 11m
2018-04-19   | 3h 32m   | 0h 0m    | 5h 15m   | 8h 52m
2018-04-20   | 1h 54m   | 0h 0m    | 8h 49m   | 10h 52m
2018-04-21   | 2h 32m   | 0h 0m    | 6h 32m   | 9h 4m
2018-04-22   | 2h 49m   | 0h 0m    | 7h 5m    | 10h 14m
2018-04-23   | 3h 41m   | 0h 0m    | 5h 22m   | 9h 24m
2018-04-24   | 2h 28m   | 0h 0m    | 5h 44m   | 8h 22m
2018-04-25   | 4h 1m    | 0h 0m    | 5h 4m    | 9h 14m
2018-04-26   | 3h 3m    | 0h 0m    | 6h 1m    | 9h 10m
2018-04-27   | 2h 2m    | 0h 0m    | 8h 36m   | 10h 43m
2018-04-28   | 2h 5m    | 0h 0m    | 6h 16m   | 8h 21m
2018-04-30   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2018-05-01   | 2h 42m   | 0h 0m    | 6h 30m   | 9h 19m
2018-05-02   | 2h 44m   | 0h 0m    | 5h 33m   | 8h 19m
2018-05-03   | 2h 51m   | 0h 0m    | 5h 5m    | 8h 3m
2018-05-04   | 3h 2m    | 0h 0m    | 6h 30m   | 9h 39m
2018-05-05   | 2h 12m   | 0h 0m    | 8h 33m   | 11h 4m
2018-05-06   | 2h 57m   | 0h 0m    | 6h 13m   | 9h 13m
2018-05-07   | 1h 47m   | 0h 0m    | 5h 52m   | 7h 47m
2018-05-08   | 1h 26m   | 0h 0m    | 5h 32m   | 7h 5m
2018-05-09   | 2h 39m   | 0h 0m    | 5h 48m   | 8h 34m
2018-05-10   | 1h 33m   | 0h 0m    | 6h 18m   | 7h 56m
2018-05-11   | 1h 56m   | 0h 0m    | 5h 55m   | 7h 56m
2018-05-12   | 2h 32m   | 0h 0m    | 7h 14m   | 10h 56m
2018-05-13   | 3h 14m   | 0h 0m    | 6h 41m   | 10h 0m
2018-05-14   | 1h 44m   | 0h 0m    | 6h 29m   | 8h 23m
2018-05-15   | 0h 32m   | 0h 0m    | 7h 40m   | 8h 17m
2018-05-16   | 1h 45m   | 0h 0m    | 7h 0m    | 9h 12m
2018-05-17   | 1h 40m   | 0h 0m    | 7h 5m    | 8h 51m
2018-05-18   | 2h 29m   | 0h 0m    | 5h 43m   | 8h 12m
2018-05-19   | 1h 33m   | 0h 0m    | 6h 54m   | 8h 27m
2018-05-20   | 2h 22m   | 0h 0m    | 6h 7m    | 8h 38m
2018-05-21   | 1h 51m   | 0h 0m    | 6h 22m   | 8h 19m
2018-05-22   | 3h 47m   | 0h 0m    | 5h 42m   | 9h 32m
2018-05-23   | 3h 46m   | 0h 0m    | 5h 6m    | 9h 4m
2018-05-24   | 2h 36m   | 0h 0m    | 4h 52m   | 7h 28m
2018-05-25   | 1h 21m   | 0h 0m    | 7h 49m   | 9h 11m
2018-05-26   | 1h 23m   | 0h 0m    | 7h 47m   | 9h 15m
2018-05-27   | 2h 39m   | 0h 0m    | 7h 6m    | 9h 48m
2018-05-28   | 2h 32m   | 0h 0m    | 8h 40m   | 11h 17m
2018-05-29   | 1h 2m    | 0h 0m    | 6h 51m   | 7h 58m
2018-05-30   | 2h 26m   | 0h 0m    | 6h 20m   | 8h 48m
2018-05-31   | 1h 8m    | 0h 0m    | 7h 48m   | 8h 58m
2018-06-01   | 1h 23m   | 0h 0m    | 6h 42m   | 8h 10m
2018-06-02   | 0h 55m   | 0h 0m    | 7h 44m   | 8h 47m
2018-06-03   | 3h 11m   | 0h 0m    | 5h 51m   | 9h 9m
2018-06-04   | 2h 0m    | 0h 0m    | 5h 31m   | 7h 34m
2018-06-05   | 2h 30m   | 0h 0m    | 5h 39m   | 8h 16m
2018-06-06   | 2h 33m   | 0h 0m    | 6h 41m   | 9h 14m
2018-06-07   | 3h 5m    | 0h 0m    | 5h 13m   | 8h 23m
2018-06-08   | 2h 6m    | 0h 0m    | 6h 33m   | 8h 52m
2018-06-09   | 2h 22m   | 0h 0m    | 4h 34m   | 7h 2m
2018-06-10   | 2h 47m   | 0h 0m    | 6h 53m   | 9h 44m
2018-06-11   | 2h 23m   | 0h 0m    | 6h 5m    | 8h 33m
2018-06-12   | 2h 26m   | 0h 0m    | 5h 37m   | 8h 6m
2018-06-13   | 2h 21m   | 0h 0m    | 6h 22m   | 8h 50m
2018-06-14   | 2h 15m   | 0h 0m    | 6h 1m    | 8h 19m
2018-06-15   | 3h 51m   | 0h 0m    | 4h 17m   | 8h 13m
2018-06-16   | 2h 55m   | 0h 0m    | 7h 43m   | 11h 28m
2018-06-17   | 0h 58m   | 0h 0m    | 6h 10m   | 7h 13m
2018-06-18   | 3h 7m    | 0h 0m    | 4h 43m   | 7h 55m
2018-06-19   | 2h 3m    | 0h 0m    | 6h 11m   | 8h 15m
2018-06-20   | 1h 38m   | 0h 0m    | 4h 3m    | 5h 47m
2018-06-21   | 1h 52m   | 0h 0m    | 6h 28m   | 8h 25m
2018-06-22   | 2h 39m   | 0h 0m    | 7h 2m    | 9h 41m
2018-06-23   | 3h 5m    | 0h 0m    | 7h 39m   | 11h 15m
2018-06-24   | 3h 38m   | 0h 0m    | 6h 33m   | 10h 18m
2018-06-25   | 1h 21m   | 0h 0m    | 6h 52m   | 8h 19m
2018-06-26   | 3h 23m   | 0h 0m    | 5h 28m   | 8h 58m
2018-06-27   | 2h 20m   | 0h 0m    | 6h 41m   | 9h 9m
2018-06-28   | 2h 5m    | 0h 0m    | 7h 15m   | 9h 20m
2018-06-29   | 3h 31m   | 0h 0m    | 4h 35m   | 8h 8m
2018-06-30   | 1h 36m   | 0h 0m    | 8h 26m   | 10h 8m
2018-07-01   | 2h 0m    | 0h 0m    | 7h 21m   | 9h 22m
2018-07-02   | 2h 26m   | 0h 0m    | 8h 40m   | 11h 14m
2018-07-03   | 1h 28m   | 0h 0m    | 6h 41m   | 8h 11m
2018-07-04   | 3h 12m   | 0h 0m    | 6h 30m   | 9h 52m
2018-07-05   | 2h 1m    | 0h 0m    | 5h 30m   | 7h 38m
2018-07-06   | 2h 46m   | 0h 0m    | 5h 23m   | 8h 20m
2018-07-07   | 3h 0m    | 0h 0m    | 6h 19m   | 9h 32m
2018-07-08   | 1h 59m   | 0h 0m    | 7h 32m   | 9h 31m
2018-07-09   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2018-08-15   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2018-08-16   | 1h 2m    | 1h 55m   | 6h 29m   | 9h 31m
2018-08-17   | 0h 28m   | 3h 30m   | 5h 20m   | 9h 54m
2018-08-18   | 0h 8m    | 1h 50m   | 7h 54m   | 10h 23m
2018-08-19   | 0h 52m   | 3h 33m   | 5h 5m    | 9h 33m
2018-08-20   | 1h 18m   | 2h 50m   | 4h 2m    | 8h 12m
2018-08-21   | 0h 52m   | 1h 42m   | 4h 35m   | 8h 12m
2018-08-22   | 1h 13m   | 1h 39m   | 4h 46m   | 8h 54m
2018-08-23   | 0h 56m   | 1h 44m   | 5h 1m    | 7h 58m
2018-08-24   | 0h 56m   | 1h 57m   | 3h 51m   | 8h 51m
2018-08-25   | 1h 0m    | 2h 47m   | 5h 59m   | 10h 8m
2018-08-26   | 0h 2m    | 3h 5m    | 5h 8m    | 8h 23m
2018-08-27   | 0h 23m   | 3h 2m    | 4h 24m   | 9h 24m
2018-08-28   | 0h 9m    | 1h 47m   | 3h 18m   | 8h 24m
2018-08-29   | 0h 57m   | 2h 45m   | 5h 12m   | 9h 3m
2018-08-30   | 0h 54m   | 1h 54m   | 5h 26m   | 8h 21m
2018-08-31   | 0h 22m   | 2h 3m    | 6h 7m    | 8h 52m
2018-09-01   | 0h 28m   | 2h 38m   | 5h 27m   | 10h 18m
2018-09-02   | 0h 0m    | 3h 4m    | 5h 39m   | 9h 10m
2018-09-03   | 0h 0m    | 2h 18m   | 6h 16m   | 9h 27m
2018-09-04   | 0h 15m   | 1h 29m   | 5h 52m   | 7h 57m
2018-09-05   | 2h 8m    | 1h 32m   | 4h 56m   | 8h 40m
2018-09-06   | 1h 12m   | 0h 15m   | 7h 34m   | 9h 5m
2018-09-07   | 1h 10m   | 1h 14m   | 5h 16m   | 7h 41m
2018-09-08   | 2h 8m    | 1h 42m   | 6h 33m   | 10h 49m
2018-09-09   | 0h 0m    | 3h 10m   | 6h 48m   | 10h 3m
2018-09-10   | 1h 1m    | 2h 10m   | 5h 13m   | 9h 0m
2018-09-11   | 3h 2m    | 0h 0m    | 5h 20m   | 8h 24m
2018-09-12   | 1h 19m   | 1h 16m   | 5h 53m   | 8h 30m
2018-09-13   | 1h 19m   | 0h 42m   | 5h 50m   | 8h 48m
2018-09-14   | 1h 15m   | 1h 59m   | 6h 13m   | 9h 51m
2018-09-15   | 1h 7m    | 2h 9m    | 7h 13m   | 10h 39m
2018-09-16   | 0h 18m   | 2h 29m   | 6h 23m   | 9h 14m
2018-09-17   | 0h 29m   | 2h 14m   | 5h 6m    | 8h 15m
2018-09-18   | 2h 12m   | 1h 4m    | 6h 16m   | 9h 36m
2018-09-19   | 2h 30m   | 1h 2m    | 4h 26m   | 8h 1m
2018-09-20   | 0h 0m    | 0h 0m    | 0h 0m    | 0h 0m
2018-09-21   | 1h 59m   | 1h 17m   | 5h 42m   | 9h 5m
2018-09-22   | 1h 1m    | 0h 59m   | 7h 35m   | 9h 45m
2018-09-23   | 1h 23m   | 2h 1m    | 6h 57m   | 10h 24m
2018-09-24   | 0h 58m   | 1h 20m   | 6h 53m   | 9h 13m
2018-09-25   | 1h 9m    | 1h 51m   | 5h 58m   | 9h 0m
2018-09-26   | 0h 51m   | 2h 38m   | 5h 16m   | 8h 47m
2018-09-27   | 0h 13m   | 1h 55m   | 6h 43m   | 8h 58m
2018-09-28   | 1h 22m   | 2h 18m   | 5h 23m   | 9h 7m
2018-09-29   | 1h 43m   | 1h 48m   | 6h 18m   | 10h 8m
2018-09-30   | 0h 2m    | 3h 26m   | 6h 56m   | 10h 27m
2018-10-01   | 0h 21m   | 2h 53m   | 5h 39m   | 8h 56m
2018-10-02   | 1h 16m   | 1h 5m    | 6h 31m   | 8h 56m
2018-10-03   | 2h 8m    | 0h 57m   | 6h 14m   | 10h 19m
2018-10-04   | 2h 8m    | 1h 12m   | 5h 41m   | 9h 8m
2018-10-05   | 2h 1m    | 0h 56m   | 5h 43m   | 8h 53m
2018-10-06   | 0h 39m   | 1h 54m   | 6h 33m   | 9h 7m
2018-10-07   | 0h 34m   | 2h 6m    | 8h 3m    | 11h 55m
2018-10-08   | 1h 4m    | 2h 6m    | 5h 34m   | 9h 0m
2018-10-09   | 2h 0m    | 1h 31m   | 7h 4m    | 11h 1m
2018-10-10   | 1h 49m   | 1h 17m   | 5h 25m   | 8h 54m
2018-10-11   | 1h 28m   | 1h 26m   | 5h 56m   | 9h 14m
2018-10-12   | 1h 15m   | 0h 45m   | 7h 14m   | 9h 23m
2018-10-13   | 1h 27m   | 2h 3m    | 6h 46m   | 10h 22m
2018-10-14   | 0h 33m   | 1h 35m   | 6h 27m   | 8h 43m
2018-10-15   | 0h 21m   | 2h 31m   | 6h 19m   | 9h 24m
2018-10-16   | 1h 7m    | 1h 36m   | 6h 34m   | 10h 1m
2018-10-17   | 0h 58m   | 1h 15m   | 6h 22m   | 8h 38m
2018-10-18   | 1h 22m   | 1h 57m   | 5h 58m   | 9h 20m
2018-10-19   | 0h 52m   | 1h 56m   | 6h 10m   | 8h 58m
2018-10-20   | 1h 12m   | 2h 10m   | 7h 5m    | 10h 37m
2018-10-21   | 0h 15m   | 3h 51m   | 6h 34m   | 10h 52m
2018-10-22   | 1h 18m   | 1h 35m   | 5h 52m   | 8h 54m
2018-10-23   | 0h 35m   | 2h 12m   | 5h 51m   | 8h 41m
2018-10-24   | 0h 39m   | 2h 47m   | 5h 19m   | 8h 46m
2018-10-25   | 1h 51m   | 2h 5m    | 5h 7m    | 9h 4m
2018-10-26   | 1h 11m   | 2h 3m    | 5h 59m   | 9h 13m
2018-10-27   | 0h 21m   | 4h 8m    | 6h 29m   | 11h 30m
2018-10-28   | 0h 44m   | 3h 14m   | 5h 59m   | 10h 0m
2018-10-29   | 0h 34m   | 2h 33m   | 5h 40m   | 8h 51m
2018-10-30   | 0h 34m   | 1h 53m   | 6h 11m   | 8h 40m
2018-10-31   | 1h 1m    | 2h 4m    | 6h 56m   | 10h 5m
2018-11-01   | 1h 30m   | 2h 5m    | 5h 10m   | 8h 50m
2018-11-02   | 0h 53m   | 3h 13m   | 5h 4m    | 9h 12m
2018-11-03   | 0h 0m    | 3h 9m    | 6h 45m   | 9h 57m
2018-11-04   | 0h 48m   | 2h 18m   | 6h 25m   | 9h 43m
2018-11-05   | 0h 0m    | 3h 28m   | 6h 2m    | 9h 32m
2018-11-06   | 0h 49m   | 2h 22m   | 6h 7m    | 9h 21m
2018-11-07   | 1h 1m    | 2h 19m   | 4h 13m   | 7h 34m
2018-11-08   | 1h 9m    | 1h 39m   | 4h 11m   | 7h 1m
2018-11-09   | 0h 59m   | 2h 55m   | 5h 52m   | 10h 7m
2018-11-10   | 0h 51m   | 3h 48m   | 5h 39m   | 10h 26m
2018-11-11   | 0h 46m   | 2h 59m   | 5h 20m   | 9h 8m
2018-11-12   | 0h 17m   | 2h 53m   | 5h 52m   | 9h 9m
2018-11-13   | 1h 30m   | 1h 21m   | 7h 5m    | 10h 58m
2018-11-14   | 0h 44m   | 0h 35m   | 4h 34m   | 5h 58m
2018-11-15   | 1h 11m   | 2h 19m   | 6h 4m    | 9h 52m
2021-11-18   | 1h 10m   | 1h 33m   | 4h 5m    | 8h 4m
2021-11-19   | 1h 16m   | 1h 56m   | 5h 33m   | 9h 2m
2021-11-20   | 1h 34m   | 0h 29m   | 4h 24m   | 8h 9m
2021-11-21   | 1h 9m    | 1h 20m   | 6h 21m   | 8h 53m
2021-11-22   | 0h 24m   | 1h 27m   | 6h 56m   | 8h 52m
2021-11-23   | 1h 10m   | 1h 53m   | 5h 39m   | 9h 9m
2021-11-24   | 1h 13m   | 1h 47m   | 6h 1m    | 9h 41m
2021-11-25   | 1h 27m   | 1h 42m   | 6h 11m   | 9h 39m
2021-11-26   | 0h 26m   | 1h 4m    | 7h 5m    | 8h 47m
2021-11-27   | 1h 10m   | 1h 5m    | 6h 11m   | 8h 40m
2021-11-28   | 1h 4m    | 0h 30m   | 7h 12m   | 8h 46m
2021-11-29   | 1h 18m   | 2h 10m   | 5h 12m   | 8h 40m
2021-11-30   | 2h 47m   | 0h 50m   | 5h 17m   | 9h 3m
2021-12-01   | 1h 37m   | 1h 4m    | 5h 48m   | 8h 35m
2021-12-02   | 1h 7m    | 1h 27m   | 6h 8m    | 9h 11m
2021-12-03   | 1h 38m   | 1h 17m   | 5h 23m   | 8h 38m
2021-12-04   | 1h 11m   | 0h 51m   | 6h 2m    | 8h 6m
2021-12-05   | 1h 36m   | 2h 4m    | 5h 51m   | 9h 58m
2021-12-06   | 0h 40m   | 1h 28m   | 7h 2m    | 9h 23m
2021-12-07   | 0h 56m   | 1h 47m   | 5h 42m   | 8h 37m
2021-12-08   | 0h 45m   | 1h 5m    | 7h 30m   | 9h 20m
2021-12-09   | 1h 5m    | 0h 55m   | 6h 50m   | 8h 59m
2021-12-10   | 1h 30m   | 1h 49m   | 5h 16m   | 8h 48m
2021-12-11   | 1h 27m   | 1h 7m    | 5h 1m    | 7h 52m
2021-12-12   | 0h 43m   | 1h 5m    | 6h 31m   | 8h 55m
